tabela_sftp,tabela_dump,metodo,confianca,score_similaridade,qtd_campos_comum
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202602_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202603_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202603_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
gefus_202604_snh_pmcmv_dados_prioritarios_da_entrega_da_un_0001,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,hash_exato,alta,1.0,0
